bootstrap_size,no_features,max_depth,no_trees,ouralgorithm_accuracy,sklearn_accuracy
27000,40,5,100,0.844,0.850333333
13500,100,25,10,0.926666667,0.933166667
5400,50,15,30,0.929833333,0.936333333
27000,50,5,40,0.831833333,0.838333333
5400,50,5,50,0.838166667,0.844833333
13500,40,10,100,0.9365,0.943166667
13500,100,20,10,0.926666667,0.9335
27000,50,25,30,0.950166667,0.957166667
27000,40,10,50,0.934333333,0.941333333
27000,40,20,100,0.955833333,0.962833333
27000,40,25,100,0.956333333,0.9635
13500,50,20,40,0.946166667,0.9535
5400,50,10,20,0.907,0.9145
27000,40,15,40,0.946333333,0.953833333
27000,40,15,50,0.948833333,0.956333333
5400,50,20,20,0.919833333,0.9275
27000,40,15,100,0.953666667,0.961666667
5400,100,5,20,0.816166667,0.824166667
27000,50,10,20,0.923833333,0.931833333
13500,50,10,40,0.930666667,0.938833333
13500,50,20,30,0.940333333,0.9485
27000,50,20,40,0.953666667,0.962333333
13500,50,20,50,0.946666667,0.955666667
13500,50,25,30,0.940666667,0.949666667
13500,50,10,30,0.926833333,0.936166667
5400,50,25,20,0.920166667,0.929666667
27000,100,5,10,0.791666667,0.801333333
13500,40,20,100,0.947666667,0.9575
13500,100,5,10,0.7935,0.803333333
27000,50,20,50,0.954333333,0.964166667
13500,40,15,100,0.947166667,0.957166667
13500,40,25,100,0.948,0.958
27000,50,15,20,0.94,0.950333333
27000,40,10,40,0.931666667,0.942166667
5400,50,15,20,0.918166667,0.928833333
27000,40,20,50,0.9505,0.961166667
27000,50,5,20,0.8135,0.824166667
5400,40,20,50,0.9295,0.940833333
27000,50,25,20,0.943666667,0.955166667
13500,50,15,30,0.940333333,0.951833333
5400,40,15,50,0.927833333,0.9395
5400,40,25,50,0.929333333,0.941
27000,50,20,30,0.948833333,0.961166667
27000,40,25,50,0.9495,0.962
27000,40,20,40,0.9485,0.961166667
13500,50,5,50,0.8325,0.845333333
5400,40,10,50,0.919833333,0.932833333
27000,40,15,30,0.939833333,0.952833333
5400,40,5,50,0.833166667,0.846333333
13500,40,20,50,0.9405,0.954166667
27000,40,25,40,0.948666667,0.9625
27000,50,20,20,0.943,0.957
5400,40,15,40,0.922333333,0.9365
27000,40,5,40,0.825833333,0.84
27000,40,10,30,0.926166667,0.9405
13500,40,15,50,0.9395,0.953833333
27000,40,10,20,0.920666667,0.935166667
13500,40,20,40,0.936333333,0.950833333
13500,40,10,40,0.9245,0.939333333
13500,50,15,20,0.929,0.944
13500,40,10,50,0.9265,0.9415
5400,50,5,40,0.826,0.841166667
13500,50,10,20,0.9155,0.931166667
5400,100,5,10,0.782166667,0.798166667
27000,30,10,100,0.925833333,0.942
13500,50,20,20,0.929,0.945333333
13500,40,5,40,0.8205,0.837
27000,40,5,50,0.827166667,0.844166667
13500,40,15,40,0.936333333,0.953333333
13500,40,25,50,0.940333333,0.957333333
5400,40,10,40,0.912,0.929166667
5400,40,20,40,0.9225,0.939666667
5400,40,25,40,0.922833333,0.94
5400,40,15,30,0.915833333,0.9335
13500,40,25,40,0.936666667,0.9545
13500,40,5,50,0.8275,0.845333333
27000,40,20,30,0.9415,0.959333333
13500,50,25,20,0.928333333,0.946166667
27000,40,5,30,0.819666667,0.837666667
27000,40,25,30,0.9415,0.9595
13500,30,5,100,0.830166667,0.8485
5400,50,5,30,0.819,0.837833333
13500,40,15,30,0.9305,0.949333333
13500,30,20,100,0.9375,0.9565
13500,40,20,30,0.930166667,0.9495
27000,30,10,40,0.917,0.9365
27000,30,25,100,0.944166667,0.963833333
27000,30,10,50,0.919333333,0.939
27000,40,15,20,0.929,0.948833333
13500,40,10,30,0.916833333,0.936666667
5400,40,25,30,0.915166667,0.935166667
13500,50,5,40,0.824166667,0.844166667
